CODIGO,NOMBRE,IMAGEN,CODIGO INTEGRATUM
MASS2320,Máquina De Depilacion 3 En 1 Láser Diodo Lpl Profesional - Color: Blanco,http://http2.mlstatic.com/D_967675-MLV104121030558_012026-O.webp,MASS2320
MASS2016,Grabadora Cortador Láser Omtech K40 40w Para Sello Acrílico,https://http2.mlstatic.com/D_666452-MLV91269878285_082025-O.webp,MASS2016
MASS2015,Mesa De Ping Pong Dixson Pro Indoor Plegable Azul - Color: Azul oscuro,http://http2.mlstatic.com/D_696809-MLV88033942851_072025-O.webp,MASS2015
MASS2664,Laptop Dell Latitude 5540 Core I5 13 Gen 16gb Ram 256gb Ssd (Usado),https://i.postimg.cc/Gp7Kmwsz/Captura-de-pantalla-2026-07-07-094951.png,MASS2664
MASS2432,Pisos Vinil Pvc Spc Tipo Clip Alto Trafico 5mm - Color: Gris oscuro - Nombre del diseño: CBS18036,http://http2.mlstatic.com/D_742855-MLA104563556015_012026-O.webp,MASS2432
MASS2698,Laptop Asus Vivobook 15.6 Intel Celeron 4gb 128gb Ssd Win11,https://i.postimg.cc/jjWT6fpH/Captura-de-pantalla-2026-07-21-111331.png,MASS2698
MASS2073,Grabadora De Torno Broca Oem 3018 24w Portátil 30x18 Cm,https://http2.mlstatic.com/D_764464-MLV95099332865_102025-O.webp,MASS2073
30920704-893677,Reloj Inteligente Smartwatch Lamborghini Metal Cerchio - Color de la caja: Negro - Color de la malla: Gris oscuro - Color del bisel: Gris oscuro - Diseño de la malla: Mesh,http://http2.mlstatic.com/D_935438-MLV82599747318_032025-O.webp,MASS1846
MASS2328,Caminadora Trotadora Electrica 3 En 1 320lbs 10km/h - Color: Negro,http://http2.mlstatic.com/D_853508-MLV104131797492_012026-O.webp,MASS2328
MASS2221,"Lampara Led Colgante Tipo Riel Hexagonal 4,8m X 2,4m - Color de la estructura: Blanco",http://http2.mlstatic.com/D_927897-MLV100382863609_122025-O.webp,MASS2221
MASS2318,Dermapen Lápiz De Micro Agujas Hydra Pen H5 Ems,https://http2.mlstatic.com/D_801333-MLV104027762724_012026-O.webp,MASS2318
MASS2678,Computadora Dell Optiplex 5060 Core i5 8va Generacion 8gb RAM 128gb SSD,https://i.postimg.cc/wBvnjJzX/Captura-de-pantalla-2026-06-05-115932.png,MASS2678
MASS1493,Computadora HP ProDesk 400 G5 Intel Core i5 8va Generacion 8gb Ram DDR4 128gb SSD,https://i.postimg.cc/pdxsCwmR/D-NQ-NP-2X-945257-MLV108596457591-032026-F.jpg,MASS1493
MASS2195,Coche Para Bebe Liviano Plegable Compacto Baobaohao A2 - Color: Negro - Color de la estructura: Negro,http://http2.mlstatic.com/D_643898-MLV94805548884_102025-O.webp,MASS2195
MASS2662,Laptop Dell Latitude 3480 I5 6ta Gen 8gb Ram 500gb Hdd,https://i.postimg.cc/wMj5LW8Z/Captura-de-pantalla-2026-07-07-090208.png,MASS2662
MASS2309,Silla Ejecutiva Siberiana Ergonomica Se02 - Color: Negro - Material del tapizado: Cuero sintético,http://http2.mlstatic.com/D_711353-MLV102280986584_122025-O.webp,MASS2309
MASS2219,Ejercitador Pedal Plegable Electrico Piernas Silla,https://http2.mlstatic.com/D_770632-MLV94921376588_102025-O.webp,MASS2219
MASS2217,Escaladora Vertical Ejercicio Aerobico Y Cardio Blanco - Color: Blanco,http://http2.mlstatic.com/D_842905-MLV100369555701_122025-O.webp,MASS2217
MASS2704,Coche Para Bebe Liviano Plegable Compacto Baobaohao A2 - Azul,https://i.postimg.cc/q7BdDKhp/Captura-de-pantalla-2026-06-29-111759.png,MASS2704
MASS2703,Coche Para Bebe Liviano Plegable Compacto Baobaohao A2 - Blanco,https://i.postimg.cc/9QGShf5c/Captura-de-pantalla-2026-06-29-111702.png,MASS2703
MASS2307,Silla De Oficina Ejecutiva Ergonómica Reclinable Sp01 - Color: Negro - Material del tapizado: Cuero sintético,http://http2.mlstatic.com/D_989062-MLV102278592754_122025-O.webp,MASS2307
MASS2663,Laptop Dell Alienware Core I7 4ta Gen 8gb Ram 500gb Hdd,https://i.postimg.cc/t4j3zCjd/Captura-de-pantalla-2026-07-07-090532.png,MASS2663
MASS2661,Laptop Dell Latitude E5440 Core I7 4ta Gen 4gb Ram 250gb Hdd,https://i.postimg.cc/SxS48CJj/Captura-de-pantalla-2026-07-07-085759.png,MASS2661
MASS2660,Laptop Dell Latitude E6440 Core I7 4ta Gen 4gb Ram 750gb Hdd,https://i.postimg.cc/yddC5H0Q/Captura-de-pantalla-2026-07-07-085508.png,MASS2660
MASS2658,Laptop Dell Latitude E7440 Core I7 4ta Gen 8gb Ram 500gb Hdd,https://i.postimg.cc/G2cmmVG5/Captura-de-pantalla-2026-07-07-085132.png,MASS2658
MASS2218,Banco Ajustable De Pesas Ejercicio Abdominales Gym - Color: Negro,http://http2.mlstatic.com/D_642693-MLV99778933434_122025-O.webp,MASS2218
30834012-873065,Maquina De Soldar Inverter Makete Yb1200h 140a Portátil - Color: Negro,http://http2.mlstatic.com/D_930613-MLV96283700204_102025-O.webp,MASS1877
MASS3064,Caja de Barajitas de 104 Sobres Panini Copa Mundial FIFA 2026,,MASS3064
31087545-905756,Alexa Amazon Echo Spot Con Reloj Nuevo 2024 Pantalla Táctil - Color: Blanco,http://http2.mlstatic.com/D_928595-MLV83647045480_042025-O.webp,MASS2004
31087545-905755,Alexa Amazon Echo Spot Con Reloj Nuevo 2024 Pantalla Táctil - Color: Azul,http://http2.mlstatic.com/D_983600-MLV86905011267_062025-O.webp,MASS2003
31087545-905754,Alexa Amazon Echo Spot Con Reloj Nuevo 2024 Pantalla Táctil - Color: Negro,http://http2.mlstatic.com/D_707105-MLV83939930691_042025-O.webp,MASS2005
30834005-873070,Maquina Fabricador De Hielo Gsn-z6y1 120w Cubos - Color: Blanco,http://http2.mlstatic.com/D_732116-MLV82237777825_022025-O.webp,MASS1876
MASS2306,Silla Gamer Gaming Ergonomica Reclinable Varios Colores - Color: Azul - Material del tapizado: Cuero sintético,http://http2.mlstatic.com/D_701262-MLV102281226776_122025-O.webp,MASS2306
MASS2305,Silla Gamer Gaming Ergonomica Reclinable Varios Colores - Color: Rojo - Material del tapizado: Cuero sintético,http://http2.mlstatic.com/D_928985-MLV102789421641_122025-O.webp,MASS2305
MASS2699,Silla Gamer Gaming Ergonomica Reclinable Varios Colores - Color: Negro - Material del tapizado: Cuero sintético,https://i.postimg.cc/GmDRkK2X/Captura-de-pantalla-2026-06-17-085550.png,MASS2699
30947021-896608,Impresora Termica De Etiqueta 4x6 - Color: Blanco,http://http2.mlstatic.com/D_972478-MLV82795510020_032025-O.webp,MASS1454
MASS2782,Maquina Sodastream Gaia Para Hacer Agua Con Gas En Casa,https://i.postimg.cc/FK2wsftS/Captura-de-pantalla-2026-07-24-094600.png,MASS2782
MASS1362,Toldo Plegable 3x3 Metros Lona Impermeable Camping Playa,https://http2.mlstatic.com/D_639537-MLV73225924219_122023-O.webp,MASS1362
MASS1853,Juego De Ollas Y Sartenes 13 Piezas Ceramica Antiadherentes - Color: Blanco,http://http2.mlstatic.com/D_809723-MLV80659223478_112024-O.webp,MASS1853
27714314-666417,Set Juego De Olla Acero Inoxidable 52 Pcs Mainstays Cocina - Color: Plateado,http://http2.mlstatic.com/D_601863-MLV54149302837_032023-O.webp,MASS0898
MASS2034,Cerradura Digital Inteligente Huella Dactilar Wifi App Tuya - Color: Negro,http://http2.mlstatic.com/D_754283-MLV95795936530_102025-O.webp,MASS2034
MASS2733,Maquina Cafetera Espresso Raf Electrica Espumador R.136,https://i.postimg.cc/Sx47SY1w/Captura-de-pantalla-2026-08-03-084825.png,MASS2733
MASS2033,Calentador De Agua Eléctrico Instantáneo Digital 110v 3000w - Color: Blanco,http://http2.mlstatic.com/D_947053-MLV93732473901_092025-O.webp,MASS2033
MASS0506,Juego de Ollas Tramontina Provence 9 piezas Gris,https://storage.mercas.ist/cashea/new_6a184215dd49e0.71079470.png,MASS0506
MASS0507,Juego de Ollas Tramontina Provence 9 piezas Azul,https://storage.mercas.ist/cashea/new_6a18374ee87262.94228700.webp,MASS0507
23478978-489735,Set Juego De Ollas 18 Pieza Cocina Tramontina Antiadherente - Color: Gris,http://http2.mlstatic.com/D_871643-MLV47528923308_092021-O.webp,MASS0505
MASS2732,Freidora De Aire Digital Agora Crispy 4.5l+1.8l Doble Vidrio,https://i.postimg.cc/8frdwwyX/Captura-de-pantalla-2026-07-29-152304.png,MASS2732
MASS2582,Incubadora De Huevos 48pz Verde 50w Con Rotación Automática,https://i.postimg.cc/ZRYWwKcG/Captura-de-pantalla-2026-07-02-154710.png,MASS2582
28268679,Maquina De Boxeo Con Bluetooth Entrenamiento Musica Deporte,https://http2.mlstatic.com/D_607564-MLV80911396533_112024-O.webp,
MASS2343,Rebanadora Electrica 130w Raf R.98800-110 - Color: Plateado,http://http2.mlstatic.com/D_991654-MLV104854832857_012026-O.webp,MASS2343
21738558-455266,Amazon Alexa Echo Show Altavoz Inteligente 5ta Generación - Color: Negro,http://http2.mlstatic.com/D_687740-MLV46194561257_052021-O.webp,MASS1246
31029167-900482,Estabilizador Gimbal Para Celular 3 Ejes Giratorio F6 - Color: Negro,http://http2.mlstatic.com/D_947000-MLV83087196996_032025-O.webp,MASS1982
MASS1396,Switch Cudy 16 Puertos Gigabit Rj45 Cable Red Ethernet,https://http2.mlstatic.com/D_899312-MLV76709801319_052024-O.webp,MASS1396
MASS2339,Extractor Eléctrico De Jugo Frutas Verduras Raf R.92831-110 - Color: Rojo,http://http2.mlstatic.com/D_850191-MLV104108754162_012026-O.webp,MASS2339
28588040-786398,"Tablet Vortex T10m Pro+ 4/64 Gb Lte 10,1 Pulgadas Android 12 - Color: Azul marino",http://http2.mlstatic.com/D_975893-MLV95796000270_102025-O.webp,MASS2006
MASS2463,Juego De Mancuernas Ajustables Discos Entrenamiento 40 Kg - Color: Negro,http://http2.mlstatic.com/D_835948-MLV107529001618_032026-O.webp,MASS2463
MASS1844,Tablet Surf Onn 3 Gen 7  32gb 2gb Ram Android 12 Playstore - Color: Negro,http://http2.mlstatic.com/D_976353-MLV101663009099_122025-O.webp,MASS1844
MASS2197,Impresora Térmica Papel 80mm Comandera Tickera Usb Lan - Color: Negro,http://http2.mlstatic.com/D_653483-MLV97651050281_112025-O.webp,MASS2197
MASS1551,Maquina De Soldar Portatil 110v Gran Potencia - Color: Naranja oscuro,http://http2.mlstatic.com/D_714871-MLV80919563737_112024-O.webp,MASS1551
MASS2616,Freidora De Aire Air Fryer Raf 6 Litros R.5010-110v,https://i.postimg.cc/gJrmjp4V/Captura-de-pantalla-2026-06-29-105725.png,MASS2616
MASS2437,Lámpara De Techo Led Colgante Moderna Inteligente Sala - Color de la estructura: Dorado,http://http2.mlstatic.com/D_617371-MLV107425364875_022026-O.webp,MASS2437
MASS2436,Lámpara De Techo Led Colgante Moderna Inteligente Sala - Color de la estructura: Negro,http://http2.mlstatic.com/D_917704-MLV107425244293_022026-O.webp,MASS2436
30836127-873285,Carrito Plegable Playero Camping Todo Terreno Soporta 130 Kg - Color: Negro,http://http2.mlstatic.com/D_743215-MLV81956965030_022025-O.webp,MASS1899
