sku,total_ventas,cv,clase_abc,clase_xyz,clase_abc_xyz,nivel_servicio
MASS3063,110807.64,5.159364656217604,AA,Z,AA-Z,0.95
MASS1377,82623.57,1.5066532947206446,AA,Z,AA-Z,0.95
MASS1039,54723.93,2.250081395873628,AA,Z,AA-Z,0.95
MASS1402,51680.09,1.9991483365530547,AA,Z,AA-Z,0.95
MASS1324,50163.39,3.205339763710436,AA,Z,AA-Z,0.95
MASS2603,48000.1,5.776417110164048,AA,Z,AA-Z,0.95
MASS1820,42593.94,1.8419267289407721,AA,Z,AA-Z,0.95
MASS1575,35811.46,2.89512922195874,AA,Z,AA-Z,0.95
MASS2211,34254.47,3.4352204079347963,AA,Z,AA-Z,0.95
MASS1904,33895.5,2.4911164793111866,AA,Z,AA-Z,0.95
MASS2303,32114.91,3.1821795711016176,AA,Z,AA-Z,0.95
MASS0518,31605.95,1.5663079338965902,AA,Z,AA-Z,0.95
MASS1041,31374.14,1.555023476714882,AA,Z,AA-Z,0.95
MASS1551,30794.16,1.4632223302008527,AA,Z,AA-Z,0.95
MASS0040,30448.94,1.8343235202841006,AA,Z,AA-Z,0.95
MASS0942,30444.65,1.5628487611804023,AA,Z,AA-Z,0.95
MASS1525,29395.14,1.575729512801341,AA,Z,AA-Z,0.95
MASS1061,28753.12,1.950500175302104,AA,Z,AA-Z,0.95
MASS0137,28695.37,2.11815793369294,AA,Z,AA-Z,0.95
MASS0889,28635.99,1.6271454869494018,AA,Z,AA-Z,0.95
MASS1655,27524.58,2.319996019242419,AA,Z,AA-Z,0.95
MASS1230,27328.72,2.330389949849451,AA,Z,AA-Z,0.95
MASS0850,26537.68,1.3455782719084357,AA,Z,AA-Z,0.95
MASS2304,25862.86,3.0755993552922867,AA,Z,AA-Z,0.95
MASS0292,25349.15,2.1230105671791026,AA,Z,AA-Z,0.95
MASS1526,24598.32,3.1764556855376975,AA,Z,AA-Z,0.95
MASS0902,22969.18,2.0541833932422064,AA,Z,AA-Z,0.95
MASS1410,22855.58,2.6271254832965556,AA,Z,AA-Z,0.95
MASS2306,22453.46,4.15540134392748,AA,Z,AA-Z,0.95
MASS1874,21617.21,2.570894713959158,AA,Z,AA-Z,0.95
MASS1328,21418.29,2.4492406661526798,AA,Z,AA-Z,0.95
MASS1099,21177.26,2.1489659066112115,AA,Z,AA-Z,0.95
MASS1265,20686.55,1.8165186132567595,AA,Z,AA-Z,0.95
MASS1784,20511.48,2.0297318461359084,AA,Z,AA-Z,0.95
MASS1282,19671.66,5.044853213604429,AA,Z,AA-Z,0.95
MASS2033,19293.31,2.6590286867674706,AA,Z,AA-Z,0.95
MASS1805,18339.99,2.2003836503829057,AA,Z,AA-Z,0.95
MASS1009,17774.94,1.9074886861690903,AA,Z,AA-Z,0.95
MASS1620,17648.3,3.6936932642086666,AA,Z,AA-Z,0.95
MASS0621,16930.21,1.52039317999438,AA,Z,AA-Z,0.95
MASS2235,16491.39,3.968854154741445,AA,Z,AA-Z,0.95
MASS1788,16427.57,2.395502440218793,AA,Z,AA-Z,0.95
MASS1873,16170.77,2.7759054381284995,AA,Z,AA-Z,0.95
MASS1918,16029.07,2.7588132995157473,AA,Z,AA-Z,0.95
MASS1011,15793.74,1.7029051765918741,AA,Z,AA-Z,0.95
MASS2215,15709.22,3.0228263060138194,AA,Z,AA-Z,0.95
MASS1983,15197.84,3.936325050297912,AA,Z,AA-Z,0.95
MASS1206,15030.76,1.8358575297704625,AA,Z,AA-Z,0.95
