CBM_cost,Estado,fecha_de_salida,fecha_de_llegada,contenedor,codigo,producto,cantidad,costo,cantidad_por_caja,cantidad_de_cajass,cm_a,cm_l,cm_p,CBMM,CBM_TOTAL,costo_caja,costo_total_envio,costo_envio_unit,costo_unitario_prod,costo_total,,,,
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Mochila Antirrobo Impermeable para Portátil de Negocios con Cuero PU y Forro de Poliéster para Viajes de Oficina,200.00,$5.20,20,10,46,35,35,$0.056,$0.56,$28.18,$281.75,$1.41,$6.61,1321.75,,,codigo,COUNTA of codigo
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Cafetera Tipo Greca Para 6 Tazas Coffee Maker,288.00,$3.30,36,8,65,45,41.5,$0.121,$0.97,$60.69,$485.55,$1.69,$4.99,1435.95,,,MASS2215,5
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Soporte de teléfono portátil para iPhone Anillo magnético dotado para la caja del teléfono Mini altavoz con luz nocturna RGB,300.00,$1.35,100,3,43,,26,,,,,,,,,,MASS1039,3
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS1976,MAQUINA AFEITAR KEMEI KM-1071 RECARGABLE,200.00,$4.80,40,5,65,29,43.5,$0.082,$0.41,$41.00,$204.99,$1.02,$5.82,1164.99375,,,MASS0889,3
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Limpiador Vaporizador Alta Temperatura 2500w 1.2lts,144.00,$11.00,12,12,67,57,29,$0.111,$1.33,$55.38,$664.51,$4.61,$15.61,2248.506,,,MASS0518,3
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS0830,ESTIMULADOR ELECTROTERAPIA PORTATIL TENNS,60.00,$2.15,60,1,50.5,39.5,71.5,$0.143,$0.14,$71.31,$71.31,$1.19,$3.34,200.3123125,,,MASS2778,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Cepillo Eléctrico para Parrilla de Uso Doméstico,120.00,$8.70,20,6,50,26,57.5,$0.075,$0.45,$37.38,$224.25,$1.87,$10.57,1268.25,,,MASS2776,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2621,Olla a presion 6L R.9177-110,42.00,$20.75,4,10.5,64,33,76,$0.161,$1.69,$80.26,$842.69,$20.06,$40.81,1714.188,,,MASS2775,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,MASS2330,EQUIPO DE FITNESS DE BARRA DE DOMINADAS INDIVIDUAL DE USO DOMÉSTICO CON ANILLOS PARA NIÑOS OPCIÓN DE PUERTA DE PARED DE ACERO SIN TALADRO PARA EJERCICIO EN INTERIORES,75.00,$6.65,10,7.5,84,26,38,$0.083,$0.62,$41.50,$311.22,$4.15,$10.80,809.97,,,MASS2774,2
500,En transito,8/18/2026,,CONTENEDOR SEPTIEMBRE,,Vibrador de conejo Romeo,150.00,$5.20,100,1.5,50,38.5,34.5,$0.066,$0.10,$33.21,$49.81,$0.33,$5.53,829.809375,,,MASS2769,2
