sku,nombre,total_unidades_compradas,total_transacciones_fco,primera_fco,ultima_fco
MASS3064,CAJA DE BARAJITAS MUNDIAL 2026 PANINI,5200.0,2,2026-05-14 15:13:00,2026-05-15 11:54:00
MASS3043,PERFIL INTERNO CHINO BLANCO Y NARANJA HL-Z-UNI-4-B 2CM*2CM*2.9M COLOR DFX882-14,640.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3047,PERFIL INTERNO CHINO MARRON HL-Z-UNI-8-B 2CM*2CM*2.9M COLOR 1011,640.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3037,"WALL PANEL CHINO PLANO MARRON HL-Z-199-8-A 19,9CM*1,15CM*2,9M COLOR 1011",320.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3036,"WALL PANEL CHINO PLANO MARRON OSCURO HL-Z-199-7-A 19,9CM*1,15CM*2,9M COLOR 60160",320.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3039,"WALL PANEL CHINO PLANO COBRIZO HL-Z-199-10-A 19,9CM*1,15CM*2,9M COLOR 1015",320.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3023,"WALL PANEL CHINO GRANDE BLANCO Y NARANJA HL-Z-159-4-A 16CM*2,3CM*2,9M COLOR DFX882-14",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3019,"WALL PANEL CHINO ONDULADO COBRIZO HL-Z-Y154-10-A 15,4CM*1,75CM*2,9M COLOR 1015",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3012,"WALL PANEL CHINO ONDULADO GRIS OSCURO HL-Z-Y154-3-A 15,4CM*1,75CM*2,9M COLOR 62101",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3015,"WALL PANEL CHINO ONDULADO NEGRO Y BLANCO HL-Z-Y154-6-A 15,4CM*1,75CM*2,9M COLOR 1192",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3011,"WALL PANEL CHINO ONDULADO BLANCO HL-Z-Y154-2-A 15,4CM*1,75CM*2,9M COLOR 1006",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3013,"WALL PANEL CHINO ONDULADO BLANCO Y NARANJA HL-Z-Y154-4-A 15,4CM*1,75CM*2,9M COLOR DFX882-14",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3014,"WALL PANEL CHINO ONDULADO GRIS Y BLANCO HL-Z-Y154-5-A 15,4CM*1,75CM*2,9M COLOR 96063-2",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3017,"WALL PANEL CHINO ONDULADO MARRON HL-Z-Y154-8-A 15,4CM*1,75CM*2,9M COLOR 1011",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3016,"WALL PANEL CHINO ONDULADO MARRON OSCURO HL-Z-Y154-7-A 15,4CM*1,75CM*2,9M COLOR 60160",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS3018,"WALL PANEL CHINO ONDULADO MARRON CLARO HL-Z-Y154-9-A 15,4CM*1,75CM*2,9M COLOR 2030",200.0,1,2026-04-24 12:05:00,2026-04-24 12:05:00
MASS2494,HUEVO MASTURBADOR MASCULINO TEXTURIZADO MORADO,40.0,1,2026-03-04 12:11:00,2026-03-04 12:11:00
MASS1681,CERA,20.0,1,2024-04-30 08:08:00,2024-04-30 08:08:00
MASS1683,JABON LIQUIDO,20.0,1,2024-04-30 08:08:00,2024-04-30 08:08:00
MASS1684,CLORO,20.0,1,2024-04-30 08:08:00,2024-04-30 08:08:00
MASS2782,MAQUINA GASIFICADORA SODASTREAM,15.0,1,2026-07-24 08:28:00,2026-07-24 08:28:00
MASS2698,LAPTOP ASUS VIVOBOOK E510 INTEL CELERON N4500 4GB RAM 128GB SSD,10.0,1,2026-07-21 09:55:00,2026-07-21 09:55:00
MASS1685,DESENGRASANTE,7.0,1,2024-04-30 08:08:00,2024-04-30 08:08:00
MASS1392,SWITCH DESKTOP CUDY 16 PUERTOS 10/100MBPS FS1016D,2.0,2,2025-02-27 10:31:00,2025-02-27 10:31:00
MASS2655,LAPTOP HP ELITEBOOK 850 G1 CORE i5 4TA GENERACION 8GB RAM DDR3 128GB SSD,1.0,1,2026-06-04 11:11:00,2026-06-04 11:11:00
MASS2657,LAPTOP HP ELITEBOOK 850 G1 CORE i5 4TA GENERACION 8GB RAM DDR3 500GB HDD,1.0,1,2026-06-04 11:11:00,2026-06-04 11:11:00
MASS2656,LAPTOP HP PROBOOK 650 G1 CORE i5 4TA GENERACION 8GB RAM DDR3 128GB SSD,1.0,1,2026-06-04 11:11:00,2026-06-04 11:11:00
