sku,nombre,total_unidades_vendidas,total_transacciones,primera_venta,ultima_venta,excluido_intencional
MASS1426,PANEL DECORATIVO DE PARED HAYE-05 2MM DE GROSOR 30CM*60CM,1485.0,65,2024-01-12 08:42:00,2026-08-27 13:55:00,False
MASS1423,PANEL DECORATIVO DE PARED HAYE-09 2MM DE GROSOR 30CM*60CM,1220.0,55,2024-01-08 10:54:00,2026-06-02 12:07:00,False
MASS1428,PANEL DECORATIVO DE PARED HAYE-30 2MM DE GROSOR 30CM*60CM,1161.0,45,2024-01-10 14:05:00,2026-07-29 14:37:00,False
MASS1424,PANEL DECORATIVO DE PARED HAYE-76 2MM DE GROSOR 30CM*60CM,1118.0,78,2024-01-12 08:42:00,2026-08-31 10:14:00,False
MASS1427,PANEL DECORATIVO DE PARED HAYE-08 2MM DE GROSOR 30CM*60CM,936.0,50,2024-01-12 08:42:00,2026-08-28 09:15:00,False
MASS1425,PANEL DECORATIVO DE PARED HAYE-54 2MM DE GROSOR 30CM*60CM,917.0,32,2024-01-10 13:42:00,2026-07-29 09:12:00,False
MASS1413,WALL PANEL 3D D095 BLANCO 1MM DE GROSOR 500MM*500MM,758.0,23,2024-01-04 12:46:00,2026-02-18 12:41:00,False
MASS0769,CINTA KINESIOLOGICA 5CM X 5M PEGA ALEMANA NEGRO,680.0,118,2024-01-31 13:46:00,2026-06-01 11:13:00,False
MASS1421,FOAMI 3D PLH-04 ROSADO 70CM*77CM,651.0,26,2024-01-19 19:06:00,2025-05-24 09:53:00,False
MASS1282,MAQUINA LAMINADORA A4 SL299,626.0,353,2024-01-06 09:08:00,2026-08-19 13:32:00,False
MASS1420,FOAMI 3D PLH-02 AZUL CLARO 70CM*77CM,574.0,24,2024-01-19 19:06:00,2026-07-17 09:17:00,False
MASS1352,MOUSE GAMER 1200 DPI,531.0,114,2024-02-09 15:52:00,2026-06-15 13:37:00,False
MASS0057,BALANZA COCINA 10KG MODELO B2090,511.0,74,2024-02-09 15:52:00,2024-11-16 07:22:00,False
MASS1411,WALL PANEL 3D D013 BLANCO  1MM DE GROSOR 500MM*500MM,498.0,28,2024-01-31 15:53:00,2026-08-14 13:17:00,False
MASS1422,FOAMI 3D PLH-05 VERDE MANZANA 70CM*77CM,494.0,20,2024-01-19 19:06:00,2026-06-11 09:56:00,False
MASS1450,CORRECTOR DE POSTURA TALLA U,493.0,15,2024-01-13 10:46:00,2024-05-09 15:08:00,False
MASS1412,WALL PANEL 3D D013 NEGRO 1MM DE GROSOR 500MM*500MM,467.0,17,2024-01-31 15:53:00,2026-08-14 13:17:00,False
MASS1102,PEINETA DE TIZAS DE COLORES,403.0,71,2024-01-06 09:45:00,2026-07-03 06:49:00,False
MASS1211,CINTA KINESIOLOGICA PARA LEVANTAR SENO NUDE,352.0,148,2024-02-10 08:38:00,2026-06-19 10:43:00,False
MASS1298,REFUERZO GRIFO DE AGUA,326.0,168,2024-07-02 10:36:00,2026-08-19 09:23:00,False
MASS0412,REGLETA ELECTRICA 1MT 6 TOMAS,318.0,49,2024-02-09 15:26:00,2025-08-20 12:22:00,False
MASS1561,WALL PANEL 3D D095 NEGRO 1MM DE GROSOR 500MM*500MM,307.0,23,2024-06-05 09:04:00,2026-08-18 09:14:00,False
MASS0172,CONVERTIDOR HDMI A VGA SIN AUDIO,290.0,9,2024-02-09 15:37:00,2025-02-17 14:39:00,False
MASS0998,RELOJ DESPERTADOR TIPO ESPEJO,288.0,33,2024-01-29 16:02:00,2026-06-06 11:53:00,False
MASS1405,WALL PANEL 036 MARRON 290*168*23,278.0,25,2024-01-29 10:50:00,2025-03-11 10:50:00,False
MASS1075,RACK ORGANIZADOR DE CUCHILLOS Y UTENSILIOS 50 CM (HM50),277.0,130,2024-02-09 15:52:00,2026-06-19 11:24:00,False
MASS1353,MOUSE GAMER MOUSE GAMING K-SNAKE Q7 7 BOTONES,274.0,55,2024-02-09 15:44:00,2025-05-20 07:00:00,False
MASS0408,RADIO BAOFENG BF-888S,270.0,23,2024-01-23 09:45:00,2024-07-10 09:28:00,False
MASS0863,LAMPARA LED SUPERFICIAL CUADRADA 12W,230.0,44,2024-05-10 08:36:00,2025-12-17 08:48:00,False
MASS1499,Maquina De Afeitar LT-808 Transparente Color Negro,223.0,102,2024-01-24 14:18:00,2026-06-04 14:47:00,False
MASS1314,AUDIFONO GAMER PC PS4 PS3 AZUL CON NEGRO,217.0,47,2024-01-06 08:31:00,2025-06-21 10:20:00,False
MASS1074,RACK ORGANIZADOR DE CUCHILLOS Y UTENSILIOS 30 CM (HM30),217.0,120,2024-02-09 15:52:00,2026-07-24 11:58:00,False
MASS1431,FAJA REDUCTORA MOLDEADORA CINTURA NEOPRENO ROSADO,212.0,18,2024-01-04 10:55:00,2026-03-02 09:13:00,False
MASS0326,MOUSE INALAMBRICO 6 BOTONES CAJA BLANCA NEGRO,211.0,42,2024-02-09 15:52:00,2025-05-24 12:21:00,False
MASS0864,LAMPARA LED SUPERFICIAL REDONDA 12W,208.0,54,2024-04-17 13:20:00,2026-02-21 12:13:00,False
MASS0597,VIBRADOR CONSOLADOR FEMALE VIBRATOR ROSADO HQMY8941,192.0,80,2024-03-09 09:28:00,2025-04-14 13:10:00,False
MASS1297,FILTRO DE AGUA MULTICAPAS,186.0,55,2024-06-26 11:41:00,2025-11-17 13:27:00,False
MASS2689,LAMINA PISO DE VINIL HHYM3013,180.0,6,2026-07-27 09:38:00,2026-08-24 15:06:00,False
