"Bodega","Ubicación","Categoría Artículo Padre","Categoría Artículo","Artículo","Peso","Unidad Medida Peso","Lote","Serie","Unidad Medida","Cantidad","Tipo Transacción","Transacción","Codigo Transacción","Fecha Transacción","Fecha Vencimiento","Bodega Destino","Módulo Origen","Descripción Movimiento","Usuario"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-17-AUDIO Y VIDEO","MASS1806-CAMARA DE SEGURIDAD DOBLE ROBOTICA 360° GRADOS HD MICRO SD WIFFI","-","-","-","-","Unid","1.00","TRS-Traslado Inventario Salida (-) ","33202609000000261243","2026090001","01/09/2026 04:46 AM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDOS EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-18-SALUD","MASS2215-FOMENTERA ESTERILLA ELECTRICA","-","-","-","-","Unid","2.00","TRS-Traslado Inventario Salida (-) ","33202609000000261243","2026090001","01/09/2026 04:46 AM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDOS EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1745-ROLLO PANEL DECORATIVO BD871 NEGRO CON BLANCO","-","-","-","-","Unid","4.00","TRS-Traslado Inventario Salida (-) ","33202609000000261243","2026090001","01/09/2026 04:46 AM","-","ALM-TIE-ALMACEN TIENDA","INVENTARIOS","MFLC ARTICULOS RECIBIDOS EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-17-AUDIO Y VIDEO","MASS1806-CAMARA DE SEGURIDAD DOBLE ROBOTICA 360° GRADOS HD MICRO SD WIFFI","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261244","2026090001","01/09/2026 04:46 AM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDOS EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-18-SALUD","MASS2215-FOMENTERA ESTERILLA ELECTRICA","-","-","-","-","Unid","2.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261244","2026090001","01/09/2026 04:46 AM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDOS EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TIE-ALMACEN TIENDA","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1745-ROLLO PANEL DECORATIVO BD871 NEGRO CON BLANCO","-","-","-","-","Unid","4.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261244","2026090001","01/09/2026 04:46 AM","-","-","INVENTARIOS","MFLC ARTICULOS RECIBIDOS EN ALMACEN PGR","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-11-HOGAR","MASS0239-HUMIDIFICADOR WITH COLOR CHANGING LED MARRON CLARO","-","-","-","-","Unid","2.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261246","2026090002","01/09/2026 04:57 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-16-FERRETERIA","MASS1527-MINI MOTOSIERRA INALAMBRICA PORTATIL 6 EN 1 CON 2 BATERIAS","-","-","-","-","Unid","1.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261246","2026090002","01/09/2026 04:57 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS1562-WALL PANEL 3D D094 BLANCO 1MM DE GROSOR 500MM*500MM","-","-","-","-","Unid","29.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261246","2026090002","01/09/2026 04:57 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
"ALM-TRASLADOS-ALMACEN TRASLADOS","U001-Ubicación Principal","PRO-PRODUCTOS","PRO-24-REVESTIMIENTO","MASS2138-ROLLO DE ESPUMA 3D AUTOADHESIVA JQ-3472-1Y4 40 CM X 3M DE 3MM","-","-","-","-","Unid","5.00","TRE-Traslado Inventario Entrada (+) ","33202609000000261246","2026090002","01/09/2026 04:57 AM","-","-","INVENTARIOS","MFLC SOLICITADO POR VENTAS ONLINE CASHEA","SUPADMON@MASSHOPPING.COM.VE"
