sku,nombre,categoria,pedir_cajas,costo
MASS2603,Estante Metálico 5 Niveles Galvanizado Repisas Estantería Agora,HOGAR,315,6.95
MASS2306,Silla Gamer Gaming Ergonomica Reclinable Varios Colores - Color: Azul - Material del tapizado: Cuero sintético,COMPUTACION,44,62.371224489795914
MASS1324,Pisos Vinil Pvc Autoadhesivo Alto Trafico 2.0mm Resistente - Color: HM3039,GENERAL,92,11.2
MASS1402,Pisos Vinil Pvc Autoadhesivo Alto Trafico 2.0mm Resistente - Color: HM3013,REVESTIMIENTO,94,11.2
MASS1983,Silicon De Poliuretano Global Import 300 Ml Wall Panel,REVESTIMIENTO,69,0.9
MASS1873,MINI MAQUINA DE COSER 12 PUNTADAS,HOGAR,17,10.5
MASS2123,Lamina Pvc Marmolizada Decorativa 2.44m X 1.22m X 3mm - Color: HYDY-2001,REVESTIMIENTO,143,11.5
MASS2213,Maquina De Boxeo Bluetooth Entrenamiento Gimnasio Ejercicio - Color: Negro,JUEGOS Y JUGUETES,76,12.0
MASS0137,Cepillo Secador Brush Buddies One Step Con Aire Frío,ESTETICA Y BELLEZA,12,3.0
MASS1836,"ROLLO PANEL DECORATIVO JQ-90527D1 1,2m x 3m",REVESTIMIENTO,18,5.0
MASS1918,PISO VINIL AUTOADHESIVO 3026  ALTO TRAFICO 2MM GROSOR 914.4MM*152.4MM,REVESTIMIENTO,70,11.2
MASS2294,Reloj Inteligente Smartwatch Bluetooth S9 Ultra 3 Correas - Color de la caja: Rosa,RELOJES INTELIGENTES,152,3.426523517382413
MASS2016,Grabadora Cortador Láser Omtech K40 40w Para Sello Acrílico,OFICINA,4,280.0
MASS2652,Masajeador Oem Terapia Ventosas 1 Unidad Celulitis - Blanco,ESTETICA Y BELLEZA,20,4.85
MASS1976,MAQUINA AFEITAR KEMEI KM-1071 RECARGABLE,ESTETICA Y BELLEZA,6,4.8
MASS2129,"ROLLO PANEL DECORATIVO JQ-YP-165 1,2m x 30m",REVESTIMIENTO,19,4.5
