Codigo Articulo,cuadrante,clase_abc,nivel_servicio,stock_actual,rop,demanda_esperada_lt,ss_empirico,mu_incondicional,mu_sba,adi,cv2,n_pos,n_semanas_historia,weeks_history,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,costo_final,cantidad_por_caja,CBMM,estado,requiere_pedido
MASS3063,erratic,AA,0.97,0.0,42126.53795083521,11705.024999999996,30421.512950835215,,780.3349999999997,1.231,1.6373,13,16,14.857142857142858,1,1,0.05,1.0,1.0,1.0,0.05,REORDENAR,True
MASS1377,erratic,AA,0.97,116.0,630.6183865589624,374.53846153846143,256.0799250205009,,24.969230769230762,1.156,1.3193,45,142,141.28571428571428,1,10,0.0962115,94.0,9.4,10.0,0.0962115,REORDENAR,True
MASS1039,lumpy,AA,0.97,0.0,147.53942307692304,147.53942307692304,0.0,,9.835961538461536,1.857,0.6816,28,73,71.85714285714286,1,20,0.0504,156.0,7.8,20.0,0.0504,REORDENAR,True
MASS1402,lumpy,AA,0.97,5.0,83.38269230769231,83.38269230769231,0.0,,5.5588461538461535,1.576,1.0477,33,141,139.85714285714286,1,1,0.05,11.2,11.2,1.0,0.05,REORDENAR,True
MASS1324,lumpy,AA,0.97,0.0,57.282692307692315,57.282692307692315,0.0,,3.8188461538461542,1.486,0.9941,35,139,138.28571428571428,1,1,0.05,11.2,11.2,1.0,0.05,REORDENAR,True
MASS2603,erratic,AA,0.97,1290.0,2169.882564021992,1069.8288461538461,1100.053717868146,,71.32192307692307,1.0,2.3018,13,13,12.714285714285714,1,1,0.05,6.95,6.95,1.0,0.05,REORDENAR,True
MASS1820,erratic,AA,0.97,2.0,313.2465726115826,90.75721153846153,222.4893610731211,,6.050480769230769,1.13,1.6688,46,92,91.14285714285714,1,34,0.096525,278.79999999999995,8.2,34.0,0.096525,REORDENAR,True
MASS2211,erratic,AA,0.97,43.0,320.47909762305625,127.66071428571429,192.81838333734194,,8.510714285714286,1.312,1.9261,32,42,41.142857142857146,1,20,0.079002,436.0,21.8,20.0,0.079002,REORDENAR,True
MASS1904,lumpy,AA,0.97,21.0,730.9615384615385,730.9615384615385,0.0,,48.73076923076923,1.333,1.2958,39,73,71.85714285714286,1,50,0.062208,145.0,2.9,50.0,0.062208,REORDENAR,True
MASS2303,lumpy,AA,0.97,147.0,214.5,214.5,0.0,,14.3,1.55,0.5637,20,31,30.285714285714285,1,1,0.06625,9.0,9.0,1.0,0.06625,REORDENAR,True
MASS0518,erratic,AA,0.97,1.0,2862.6248408252927,1876.3701923076924,986.2546485176002,,125.09134615384616,1.083,0.9433,48,139,138.14285714285714,1,300,0.058032,258.0,0.86,300.0,0.058032,REORDENAR,True
MASS1041,lumpy,AA,0.97,2.0,34.468269230769224,34.468269230769224,0.0,,2.297884615384615,1.625,1.0757,32,142,141.28571428571428,1,8,0.103684,88.0,11.0,8.0,0.103684,REORDENAR,True
MASS1551,erratic,AA,0.97,7.0,57.559559223600175,25.98028846153846,31.579270762061714,,1.7320192307692308,1.182,1.2201,44,125,123.85714285714286,1,6,0.088452,168.0,28.0,6.0,0.088452,REORDENAR,True
MASS0040,erratic,AA,0.97,0.0,787.8980453479642,199.46249999999998,588.4355453479642,,13.297499999999998,1.3,1.8513,40,142,141.42857142857142,1,100,0.05,185.0,1.85,100.0,0.05,REORDENAR,True
MASS0942,lumpy,AA,0.97,3.0,101.31923076923073,101.31923076923073,0.0,,6.754615384615382,1.405,1.3187,37,142,141.28571428571428,1,200,0.073574325,940.0,4.7,200.0,0.073574325,REORDENAR,True
MASS1525,erratic,AA,0.97,109.0,589.9120009108539,324.375,265.53700091085386,,21.625,1.083,1.9397,48,125,123.85714285714286,1,18,0.081664,41.94,2.33,18.0,0.081664,REORDENAR,True
MASS1061,lumpy,AA,0.97,329.0,59.88461538461538,59.88461538461538,0.0,,3.992307692307692,1.677,8.263,31,142,141.42857142857142,0,0,0.0,0.0,2.48,20.0,0.063963,OK,False
MASS0137,erratic,AA,0.97,1.0,215.0110516171317,80.67980769230769,134.331243924824,,5.378653846153846,1.3,0.5402,40,142,141.42857142857142,1,30,0.1300455,90.0,3.0,30.0,0.1300455,REORDENAR,True
MASS0889,lumpy,AA,0.97,0.0,167.95384615384617,167.95384615384617,0.0,,11.196923076923078,1.576,0.6398,33,142,141.42857142857142,1,20,0.03883125,48.0,2.4,20.0,0.03883125,REORDENAR,True
MASS1655,sin_datos,AA,0.97,2.0,0.0,0.0,0.0,,0.0,inf,,0,119,117.85714285714286,0,0,0.0,0.0,7.2,36.0,0.094446,OK,False
MASS1230,erratic,AA,0.97,3.0,254.71405981446492,77.60336538461537,177.11069442984956,,5.173557692307692,1.083,1.2932,48,142,141.28571428571428,1,1,0.05,3.72,3.72,1.0,0.05,REORDENAR,True
MASS0850,intermittent,AA,0.97,554.0,283.9775431404886,283.9775431404886,0.0,,18.931836209365905,1.368,0.4491,38,141,140.28571428571428,0,0,0.0,0.0,4.5,100.0,0.058696,OK,False
MASS2304,erratic,AA,0.97,0.0,266.6422058437413,149.175,117.46720584374128,,9.945,1.154,0.939,26,30,29.285714285714285,1,1,0.06625,8.0,8.0,1.0,0.06625,REORDENAR,True
MASS0292,lumpy,AA,0.97,132.0,511.70192307692304,511.70192307692304,0.0,,34.113461538461536,1.625,1.3452,32,142,141.28571428571428,1,20,0.05,78.0,3.9,20.0,0.05,REORDENAR,True
MASS1526,lumpy,AA,0.97,1.0,53.48076923076923,53.48076923076923,0.0,,3.5653846153846156,1.333,3.7176,39,125,123.85714285714286,1,10,0.05,60.0,6.0,10.0,0.05,REORDENAR,True
MASS0902,lumpy,AA,0.97,1.0,20.86153846153846,20.86153846153846,0.0,,1.3907692307692305,1.405,1.9048,37,141,140.42857142857142,1,20,0.12672,70.0,3.5,20.0,0.12672,REORDENAR,True
