sku,demanda_lead_time,demanda_semanal_media,p90_lead_time,modelo,stock_disponible,producto_catalogo,cbm_caja,unidades_por_caja,costo_fob,stock_seguridad,punto_reorden_rop,deficit_unidades,sugerencia_cajas,sugerencia_unidades_ajustadas,cbm_total_sugerido,inversion_fob_estimada
MASS0001,0.0,0.0,0.012213073670864105,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.012213073670864105,0.012213073670864105,0.012213073670864105,1,1.0,0.05,0.0
MASS0003,0.00022150203585624695,1.4766802390416463e-05,0.015318889170885086,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.015097387135028839,0.015318889170885086,0.015318889170885086,1,1.0,0.05,0.0
MASS0006,0.11119318008422852,0.007412878672281901,1.2156705856323242,TimesFM-3.0-PyTorch,0.0,,0.062322,200.0,0.0,1.1044774055480957,1.2156705856323242,1.2156705856323242,1,200.0,0.062322,0.0
MASS0007,8.233077824115753e-05,5.488718549410502e-06,0.004161873832345009,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.004079543054103851,0.004161873832345009,0.004161873832345009,1,1.0,0.05,0.0
MASS0009,0.005362451076507568,0.0003574967384338379,0.07774591445922852,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.07238346338272095,0.07774591445922852,0.07774591445922852,1,1.0,0.05,0.0
MASS0010,0.007212348282337189,0.00048082321882247925,0.02234286069869995,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.015130512416362762,0.02234286069869995,0.02234286069869995,1,1.0,0.05,0.0
MASS0011,0.0,0.0,0.0036119893193244934,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.0036119893193244934,0.0036119893193244934,0.0036119893193244934,1,1.0,0.05,0.0
MASS0012,0.0013947822153568268,9.298548102378845e-05,0.012179341167211533,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.010784558951854706,0.012179341167211533,0.012179341167211533,1,1.0,0.05,0.0
MASS0013,0.40634238719940186,0.027089492479960123,77.10599541664124,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,76.69965302944183,77.10599541664124,77.10599541664124,78,78.0,3.9000000000000004,0.0
MASS0016,0.003717482089996338,0.0002478321393330892,0.03328031301498413,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.029562830924987793,0.03328031301498413,0.03328031301498413,1,1.0,0.05,0.0
MASS0018,16.757377862930298,1.1171585241953532,252.9794464111328,TimesFM-3.0-PyTorch,207.0,ANILLO JOY VIBRADOR RETARDANTE POTENTE LATEX MORADO XQRE036,0.05,1.0,0.0,236.22206854820251,252.9794464111328,45.97944641113281,46,46.0,2.3000000000000003,0.0
MASS0019,0.4227006435394287,0.028180042902628582,60.13386821746826,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,59.71116757392883,60.13386821746826,60.13386821746826,61,61.0,3.0500000000000003,0.0
MASS0020,11.239389777183533,0.7492926518122355,224.05200386047363,TimesFM-3.0-PyTorch,232.0,ANILLO JOY VIBRADOR RETARDANTE POTENTE LATEX FUCSIA XQRE036,0.05,1.0,0.0,212.8126140832901,224.05200386047363,0.0,0,0.0,0.0,0.0
MASS0021,37.032878398895264,2.468858559926351,584.7670440673828,TimesFM-3.0-PyTorch,0.0,,0.05,600.0,0.0,547.7341656684875,584.7670440673828,584.7670440673828,1,600.0,0.05,0.0
MASS0022,0.002283714711666107,0.00015224764744440714,0.010598011314868927,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.00831429660320282,0.010598011314868927,0.010598011314868927,1,1.0,0.05,0.0
MASS0023,17.146897673606873,1.1431265115737914,180.19121170043945,TimesFM-3.0-PyTorch,119.0,ANTENA MINI USB WIFFI 150 MBPS CON ANTENA,0.090901125,500.0,0.0,163.04431402683258,180.19121170043945,61.19121170043945,1,500.0,0.090901125,0.0
MASS0025,1.616267204284668,0.1077511469523112,49.099040031433105,TimesFM-3.0-PyTorch,1.0,ARNE REALISTICO CON CINTURON QBTG7801,0.045,30.0,0.0,47.48277282714844,49.099040031433105,48.099040031433105,2,60.0,0.09,0.0
MASS0026,0.0026324763894081116,0.00017549842596054077,0.009941397234797478,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.007308920845389366,0.009941397234797478,0.009941397234797478,1,1.0,0.05,0.0
MASS0040,228.09937286376953,15.206624857584636,1549.1792335510254,TimesFM-3.0-PyTorch,0.0,,0.056448,100.0,0.0,1321.0798606872559,1549.1792335510254,1549.1792335510254,16,1600.0,0.903168,0.0
MASS0045,0.0,0.0,0.013739913702011108,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.013739913702011108,0.013739913702011108,0.013739913702011108,1,1.0,0.05,0.0
MASS0046,0.9587278366088867,0.06391518910725912,83.01351833343506,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,82.05479049682617,83.01351833343506,83.01351833343506,84,84.0,4.2,0.0
MASS0047,1.0874072313308716,0.0724938154220581,91.27971267700195,TimesFM-3.0-PyTorch,5.0,BALA VIBRADORA CON FUNDA DRAGON ROSADO LXB001,0.05,1.0,0.0,90.19230544567108,91.27971267700195,86.27971267700195,87,87.0,4.3500000000000005,0.0
MASS0048,0.0,0.0,0.012344688177108765,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,0.012344688177108765,0.012344688177108765,0.012344688177108765,1,1.0,0.05,0.0
MASS0049,0.34461450576782227,0.022974300384521484,70.65056014060974,TimesFM-3.0-PyTorch,20.0,BALA VIBRADORA CON FUNDA DRAGON ROJA LXB001,0.045864,100.0,0.0,70.30594563484192,70.65056014060974,50.65056014060974,1,100.0,0.045864,0.0
MASS0050,2.9970588088035583,0.19980392058690388,68.31983089447021,TimesFM-3.0-PyTorch,6.0,BALA VIBRADORA CON FUNDA DRAGON AZUL LXB001,0.05,1.0,0.0,65.32277208566666,68.31983089447021,62.319830894470215,63,63.0,3.1500000000000004,0.0
MASS0051,0.01808023452758789,0.0012053489685058595,24.20419853925705,TimesFM-3.0-PyTorch,0.0,,0.05,1.0,0.0,24.18611830472946,24.20419853925705,24.20419853925705,25,25.0,1.25,0.0
