sku,demanda_semanal_prom,demanda_semanal_std,cv,n_semanas_historial,total_ventas,total_unidades,costo_unit_trans_prom,stock_actual,costo,cantidad_por_caja,CBMM,costo_final,clase_abc,clase_xyz,clase_abc_xyz,nivel_servicio,cbm_unitario,costo_flete_unitario,costo_puesto,demanda_anual,demanda_esperada_lt,rop,stock_seguridad,eoq_teorico,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,posicion_inventario,requiere_pedido,estado,porcentaje_contenedor
MASS3063,315.09859154929575,1625.7085364633836,5.159364656217604,142,110807.64,44744.0,1.6416399506781751,0.0,,1.0,0.05,1.6416399506781751,AA,Z,AA-Z,0.95,0.05,4.25,5.891639950678175,16385.12676056338,4726.478873239436,15083.039992407328,10356.56111916789,1361.6364669626396,1362,1362,68.10000000000001,2235.9136128236746,0.0,True,REORDENAR,100.14705882352943
MASS0722,71.63239436619718,96.42506556598059,1.3461097652695928,142,6915.44,10171.8,0.0,0.0,,1.0,0.05,1.0,A,Z,A-Z,0.9,0.05,4.25,5.25,3724.884507042253,1074.4859154929577,1553.0847733533906,478.5988578604329,687.7508322375631,688,688,34.4,688.0,0.0,True,REORDENAR,50.588235294117645
MASS1230,20.633802816901408,48.08480671168233,2.330389949849451,142,27328.72,2930.0,3.9056211989574283,3.0,3.72,1.0,0.05,3.72,AA,Z,AA-Z,0.95,0.05,4.25,7.970000000000001,1072.957746478873,309.50704225352115,615.8308564202736,306.3238141667524,299.5825544669359,300,300,15.0,1116.0,3.0,True,REORDENAR,22.058823529411764
MASS0208,12.43661971830986,27.989730839439837,2.2505899089470307,142,3914.5,1766.0,1.3428846153846155,1.0,,1.0,0.05,1.3428846153846155,A,Z,A-Z,0.9,0.05,4.25,5.592884615384616,646.7042253521128,186.5492957746479,325.47430591540314,138.92501014075523,277.6446375473807,278,278,13.9,373.3219230769231,1.0,True,REORDENAR,20.441176470588236
MASS1426,10.32394366197183,35.0190524224197,3.3920228130856738,142,2427.7,1466.0,0.5238805970149254,71.0,,1.0,0.05,0.5238805970149254,A,Z,A-Z,0.9,0.05,4.25,4.773880597014926,536.8450704225352,154.85915492957744,328.67369572712875,173.8145407975513,273.8060746060764,274,274,13.700000000000001,143.54328358208957,71.0,True,REORDENAR,20.147058823529413
MASS0763,10.338028169014084,29.562264456097584,2.859565090439957,142,3339.3,1468.0,0.9031250000000001,1.0,0.56,1.0,0.05,0.56,A,Z,A-Z,0.9,0.05,4.25,4.8100000000000005,537.5774647887324,155.07042253521126,301.80058985643575,146.73016732122449,272.9621056630928,273,273,13.65,152.88000000000002,1.0,True,REORDENAR,20.073529411764707
MASS1423,8.591549295774648,32.424085901052464,3.7739509819257786,142,1831.71,1220.0,0.5323333333333333,0.0,,1.0,0.05,0.5323333333333333,B,Z,B-Z,0.85,0.05,4.25,4.782333333333334,446.7605633802817,128.8732394366197,259.02641431887184,130.15317488225213,249.55821099164572,250,250,12.5,133.08333333333334,0.0,True,REORDENAR,18.38235294117647
MASS1428,8.17605633802817,32.48770619543299,3.9735178981494266,142,1653.98,1161.0,0.47276595744680855,16.0,,1.0,0.05,0.47276595744680855,B,Z,B-Z,0.85,0.05,4.25,4.722765957446809,425.1549295774648,122.64084507042254,253.0493974928724,130.40855242244987,244.97951353603418,245,245,12.25,115.8276595744681,16.0,True,REORDENAR,18.014705882352942
MASS0823,9.366197183098592,18.1582792297331,1.938703496708346,142,5939.5199999999995,1330.0,2.197731092436975,127.0,1.5,1.0,0.05,1.5,A,Z,A-Z,0.9,0.05,4.25,5.75,487.0422535211268,140.49295774647888,230.62026695856784,90.12730921208896,237.631368036531,238,238,11.9,357.0,127.0,True,REORDENAR,17.5
MASS0234,8.30281690140845,18.930627155249237,2.28002464465258,142,4536.44,1179.0,1.6966587677725118,29.0,1.4,1.0,0.05,1.4,A,Z,A-Z,0.9,0.05,4.25,5.65,431.7464788732394,124.54225352112675,218.50305595256913,93.96080243144237,225.7067507412566,226,226,11.3,316.4,29.0,True,REORDENAR,16.617647058823533
